FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,long,lat,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1018221,Cotton Mill Farmers Market,http://www.cottonmillfarmersmarket.org,https://www.facebook.com/cottonmillfarmersmarket/?ref=settings,,,,609 Dixie Street,Carrollton,Carroll,Georgia,30117,01/01/2017 to 12/31/2017,Sat: 8:00 AM-12:00 PM;,,,,,,,-85.072740,33.571347,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,6/20/2017 4:10:18 PM
1018697,Hwy 78 Farmer & Craft Market,http://www.downtownvillarica.com,https://www.facebook.com/Hwy-78-Farmer-Craft-Market-1384496728235287/,,,,106 Temple St.,Villa Rica,Carroll,Georgia,30180,,Tue: 4:00 PM-7:00 PM;,,,,,,,-84.9169182,33.7312773,,Y,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,7/17/2017 4:56:04 PM
1001648,Forsyth Farmers' Market,http://www.forsythfarmersmarket.com,https://www.facebook.com/ForsythFarmersMarket,https://twitter.com/ForsythFarmMkt,http://www.youtube.com/channel/UCxAhEHi1QGnHER-tqSF6h2Q, http://instagram.com/forsythfarmersmarket,1 West Park Avenue,Savannah,Chatham,Georgia,31401,01/02/2016 to 12/17/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-81.09717,32.06498,,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,7/8/2016 12:11:29 PM
1010683,Pooler Farmers' Market,http://www.poolerfarmersmarket.com,https://www.facebook.com/pages/Pooler-Farmers-Market/167081213455725?ref=tn_tnmn,@poolerfarmersmkt,,,200 Preston Stokes Drive,Pooler,Chatham,Georgia,31322,03/04/2015 to 12/09/2015,Wed: 4:00 PM-7:00 PM;,,,,,,,-81.263666,32.130564,,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,Y,10/25/2014 8:25:49 AM
1005650,Savannah State Farmers Market,,,,,,701 U.S. Highway 80-West,Savannah,Chatham,Georgia,31408,,,,,,,,,-81.232,32.1098,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1011693,Wilmington Island Farmers' Market,http://www.wifarmersmarket.org,https://www.facebook.com/Wilmington-Island-Farmers-Market-403703859682913/timeline/,https://twitter.com/WIMarket,https://www.youtube.com/results?search_query=wilmington+Island+farmers+market,https://instagram.com/explore/locations/138324566/,111 Walthour Road,Savannah ,Chatham,Georgia,31410,03/05/2016 to 06/25/2016,Sat: 9:00 AM-1:00 PM;,09/05/2015 to 12/19/2015,Sat: 9:00 AM-1:00 PM;,,,,,-80.9652990,32.0221290,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,9/18/2015 7:57:27 AM
1001397,Canton Farmers Market,http://www.cantonhdl.com,,,,,130 E Main Street,Canton,Cherokee,Georgia,30114,May to September,Sat:8:00 AM - 12:00 PM;,,,,,,,-84.490904,34.236863,Local government building grounds,Y,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,7/19/2012 11:35:52 AM
1006228,Waleska Farmers Market at Reinhardt University,http://www.reinhardt.edu,,,,,7300 Reinhardt Circle,Waleska,Cherokee,Georgia,30143,05/15/2014 to 09/04/2014,Thu: 3:00 PM-7:00 PM;,,,,,,,-84.550095,34.315752,Educational institution,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3/31/2014 3:52:34 PM
1005140,Woodstock Farm Fresh Market ,http://www.visitwoodstockga.com,https://www.facebook.com/dtwoodstock,www.twitter.com/dtwoodstock,www.youtube.com/dtwoodstock,https://www.pinterest.com/downtownwoodstock,Market Street and Elm Street,Woodstock,Cherokee,Georgia,30188,04/21/2018 to 12/29/2018,Sat: 8:30 AM-12:00 PM;,,,,,,,-84.520920,34.100488,,Y,N,N,N,N,-,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,7/27/2018 11:11:31 AM
1008974,Athens Farmers Market Downtown,http://www.athensfarmersmarket.net,https://www.facebook.com/AthensFarmersMarket,https://twitter.com/AthFarmersMkt ,,INSTAGRAM: athensfarmersmarket ,301 College Ave,Athens,Clarke,Georgia,30601,04/09/2014 to 10/29/2014,Wed: 4:00 PM-7:00 PM;,,,,,,,-83.376055,33.959569,Local government building grounds,Y,N,N,N,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,Y,N,3/28/2014 11:40:14 AM
1018033,"Athens Farmers Market, L.L.C.",http://www.athensfarmersmarket.net/,https://www.facebook.com/AthensFarmersMarket,https://twitter.com/AthFarmersMkt,,https://www.instagram.com/athensfarmersmarket/,271 W Hancock Ave,Athens,Clarke,Georgia,30601,04/17/2019 to 11/13/2019,Wed: 4:00 PM-7:00 PM;,,,,,,,-83.380247,33.959088,,Y,N,N,N,Y,Y,Y,N,N,N,Y,N,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,12/31/2018 12:25:40 PM
1018032,"Athens Farmers Market, LLC",http://www.athensfarmersmarket.net/,https://www.facebook.com/AthensFarmersMarket,https://twitter.com/AthFarmersMkt,,https://www.instagram.com/athensfarmersmarket/,705 Sunset Dr,Athens,Clarke,Georgia,30606,03/23/2019 to 12/14/2019,Sat: 8:00 AM-12:00 PM;,,,,,,,-83.4121317,33.9644564,,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,12/31/2018 12:24:50 PM
1000297,Athens Locally Grown,http://www.athens.locallygrown.net,,,,,670 W. Broad Street,Athens,Clarke,Georgia,30603,January to December,Thu:4:30 PM - 8:00 PM;,,,,,,,-83.383849,33.956318,Private business parking lot,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,5/7/2012 1:55:31 PM
1018010,West Broad Farmers Market and Garden,http://westbroadfm.org,,,,,,Athens-Clarke County unified government (balance),Clarke,Georgia,,04/29/2017 to 12/16/2017,Sat: 9:00 AM-1:00 PM;,,,,,,,-83.396828,33.952260,,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,N,5/22/2017 7:56:10 PM
1012564,White Oak Pastures,http://www.whiteoakpastures.com,whiteoakpastures,whiteoakpasture,White Oak Pastures,whiteoakpastures,101 Church St,Bluffton ,Clay,Georgia,39824,01/01/2016 to 12/31/2016,Mon: 8:00 AM-6:00 PM;Tue: 8:00 AM-6:00 PM;Wed: 8:00 AM-6:00 PM;Thu: 8:00 AM-6:00 PM;Fri: 8:00 AM-6:00 PM;Sat: 9:00 AM-6:00 PM;Sun: 11:00 AM-5:00 PM;,,,,,,,-84.8660495,31.5208669,,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,Y,N,Y,N,N,N,Y,N,Y,7/14/2016 11:34:35 AM
1006095,Atlanta State Farmers Market,,,,,,16 Forest Parkway,Forest Park,Clayton,Georgia,30927,,,,,,,,,-84.4009,33.6168,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1018195,Jonesboro Farmers Market ,,,,,,155 Lee Street,Jonesboro,Clayton,Georgia,30236,05/13/2017 to 09/30/2017,Tue: 11:00 AM-1:00 PM;Sat: 8:00 AM-12:00 PM;,,,,,,,-84.357020,33.523023,,Y,N,N,N,N,-,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,6/20/2017 2:52:54 PM
1007519,Acworth Farmers Market,,,,,,Main and Lemon Streets,Acworth,Cobb,Georgia,,,,,,,,,,-84.6767,34.0657,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1012801,F.A.R.M. (Farmer's Atlanta Road Market),http://www.FARMSmyrna.com,https://www.facebook.com/FARMSmyrna/?fref=ts,,,stbfarm@gmail.com,2160 Cooper Lake Road,Smyrna,Cobb,Georgia,30080,04/05/2016 to 10/25/2016,Tue: 4:30 PM-7:00 PM;,,,,,,,-84.4940793,33.8506111,,Y,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,9/5/2016 9:15:23 PM
1018119,Kennesaw Farmers Market,,Kennesaw Farmers Market,,,,2820 Cherokee Street,Kennesaw ,Cobb,Georgia,30144,05/01/2017 to 10/30/2017,Mon: 3:30 PM-7:30 PM;,,,,,,,-84.6148266,34.0234637,,Y,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,N,Y,Y,Y,N,N,6/20/2017 1:16:02 PM
1011538,Mableton Farmers Market,http://www.mableton.org/community-projects/farmers-market,Mableton Farmers Market,,,,5239 Floyd Road,Mableton,Cobb,Georgia,30126,05/28/2015 to 08/27/2015,Thu: 8:30 AM-12:30 PM;,,,,,,,-84.5753731,33.8259244,,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,7/28/2015 3:45:55 PM
1003238,Marietta Square Farmers Market,http://www.MariettaSquareFarmersMarket.com,https://www.facebook.com/mariettasquarefarmersmarket,,,,65 Church St,MARIETTA,Cobb,Georgia,30060,01/01/2018 to 12/31/2018,Sat: 9:00 AM-12:00 PM;Sun: 12:00 PM-3:00 PM;,,,,,,,-84.549494,33.953194,,Y,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,7/26/2018 4:30:44 PM
1009846,Smyrna Fresh Market,,,,,,1275 Church Street,"Smyrna, GA",Cobb,Georgia,30080,05/07/2016 to 09/24/2016,Sat: 8:00 AM-12:00 PM;,,,,,,,-84.515507,33.883265,,Y,N,N,N,N,-,Y,N,N,N,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,N,6/27/2016 1:46:38 PM
1008261,Evans Towne Farmers Market,http://www.evanstownefarmersmarket.com,https://www.facebook.com/EvansTowneFarmersMarket?ref=hl,,https://www.youtube.com/watch?v=blS1wHiU-HM,https://www.youtube.com/watch?v=Gv07Bhq6mf0,7022 Evans Town Center Blvd,Evans,Columbia,Georgia,30809,03/20/2014 to 10/30/2014,Thu: 4:30 PM-7:00 PM;,,,,,,,-82.1328615,33.5465178,Local government building grounds,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y,3/31/2014 5:01:26 PM
1001072,Cordele State Farmers Market,,,,,,1901 U.S. Highway 41-North,Cordele,Crisp,Georgia,31010,,,,,,,,,-83.8654,31.8985,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1003213,Trenton Farmers Market,,,,,,"Veterans Park, Downtown",Trenton,Dade,Georgia,30752,May to November,Sat:9:00 AM - 12:00 PM;,,,,,,,-85.509544,34.874892,Other,N,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,6/5/2012 8:53:35 AM
1003563,Amicalola Regional Farmers Market,,https://www.facebook.com/amicalolafarmersmarket/,,,,186 Recreation Road,Dawsonville,Dawson,Georgia,30534,05/04/2018 to 09/28/2018,Fri: 3:30 PM-7:00 PM;,,,,,,,-84.099043,34.437795,,Y,N,N,N,N,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,7/26/2018 4:05:11 PM
1018789,Amicalola Regional Farmers Market,,https://www.facebook.com/amicalolafarmersmarket,,,,6921 Hwy 53 East,Dawsonville,Dawson,Georgia,20534,04/28/2017 to 10/13/2017,Fri: 3:30 PM-7:00 PM;,,,,,,,-84.031570,34.357705,,Y,N,N,N,N,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,Y,8/7/2017 1:22:22 PM
1010608,Bainbridge Farmers Market,http://www.thebainbridgefarmersmarket.com/,https://www.facebook.com/bainbridgemkt?fref=ts,https://twitter.com/@bainbridgemkt,,https://www.instagram.com/bainbridgefarmersmarket/,300 N Broad St,Bainbridge,Decatur,Georgia,39817,04/16/2016 to 06/30/2016,Sat: 9:00 AM-1:00 PM;,10/01/2016 to 12/17/2016,Sat: 9:00 AM-1:00 PM;,,,,,-84.5755207,30.9073968,,Y,N,N,N,N,-,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,3/11/2016 9:58:09 PM
1012726,Brookhaven Farmers Market,http://www.brookhavenfarmersmarket.com,https://www.facebook.com/brookhavenmarket,,,,1375 Fernwood Circle NE,Brookhaven,DeKalb,Georgia,30319,04/16/2016 to 12/10/2016,Sat: 9:00 AM-12:00 PM;,,,,,,,-84.334721,33.860129,,Y,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,7/24/2016 10:05:36 PM
1006246,Chamblee Farmers Market,http://www.chambleefarmersmarket.com,,,,,5435 Peachtree Road,Chamblee,DeKalb,Georgia,30341,,,,,,,,,-84.2997,33.8932,Private business parking lot,N,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,6/16/2011 5:10:23 PM
1004198,Clarkston Farmers Market,http://www.clarkstonfarmersmarket.com,https://www.facebook.com/clarkstonfarmersmarket,https://twitter.com/ClarkstonMarket,,,3701 College Ave,Clarkston,DeKalb,Georgia,30021,04/27/2014 to 11/02/2014,Sun: 10:00 AM-2:00 PM;,,,,,,,-84.239409,33.805672,Other,Y,N,N,N,Y,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,N,5/19/2014 2:35:20 PM
1018610,Decatur Farmers Market ,http://cfmatl.org/decatur,https://www.facebook.com/DecaturFarmersMarkets/,,,communityfarmersmarkets,308 Clairemont Avenue,Decatur,DeKalb,Georgia,30030,04/11/2018 to 12/12/2018,,04/14/2018 to 12/15/2018,Sat: 9:00 AM-1:00 PM;,,,,,-84.296924,33.778805,,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,Y,7/27/2018 8:41:25 AM
1002933,East Lake Farmers Market,http://www.elfmarket.org,https://www.facebook.com/pages/ELF-Market/101442739896056,https://twitter.com/ELFMarket,elfmarket,,2343 Hosea Williams Drive,Atlanta,DeKalb,Georgia,30317,04/15/2014 to 10/28/2014,Tue: 4:00 PM-8:30 PM;,,,,,,,-84.310406,33.750977,Other,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,5/12/2014 3:42:23 PM
1018896,Jazam natural farmer market,,,,,,3039 briarcliff rd ne,Atlanta ,DeKalb,Georgia,,02/01/2018 to 12/01/2018,Thu: 10:00 AM-7:00 PM;Fri: 11:00 AM-7:00 PM;Sat: 11:00 AM-7:00 PM;Sun: 12:00 AM-6:00 PM;,,,,,,,-84.3140666,33.8369363,,Y,N,N,N,Y,-,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,12/24/2017 10:32:13 PM
1018732,Lithonia Farmers Market,http://www.cityoflithoniaga.org/,https://www.facebook.com/LithoniaFarmersMarket,,,https://www.instagram.com/lithoniafarmersmarket/,6920 Main st,Lithonia ,DeKalb,Georgia,30058,06/04/2017 to 09/17/2017,Sun: 12:00 PM-4:00 PM;,,,,,,,-84.108364,33.710866,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,7/25/2017 11:06:34 AM
1012366,Ponce City Farmers Market on the BeltLine ,http://cfmatl.org/poncecity/,https://www.facebook.com/pcfmbeltline/,,,,675 Ponce de Leon Avenue,Atlanta,DeKalb,Georgia,30308,04/10/2018 to 11/20/2018,Tue: 4:00 PM-8:00 PM;,,,,,,,-84.364596,33.772429,,Y,N,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,Y,N,Y,N,N,7/26/2018 5:25:14 PM
1012424,Stone Mountain Farmers Market,http://www.stonemountaincity.org/departments/economic_development_downtown_development_authority/farmers_market.php,https://www.facebook.com/stonemountainfarmersmarket,,,https://www.pinterest.com/SMVGA/,922 Main Street,Stone Mountain,DeKalb,Georgia,30083,04/19/2016 to 11/22/2016,Tue: 4:00 PM-7:00 PM;,,,,,,,-84.170625,33.807084,,Y,N,N,N,Y,-,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,7/11/2016 11:25:50 AM
1001297,The GROVE Farmer's Market,,,,,,"1879 Glenwood Ave, SE",Atlanta,DeKalb,Georgia,30016,,,,,,,,,-84.3256410,33.7388690,"Faith-based institution (e.g., church, mosque, synagogue, temple)",Y,Y,Y,Y,Y,-,Y,N,N,N,Y,N,Y,Y,N,Y,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,6/27/2013 12:07:33 PM
1005006,Tucker Farmers Market,http://www.tuckerfarmersmarket.com,https://www.facebook.com/tuckerfarmersmarket,,,,2333 Main Street,Tucker,DeKalb,Georgia,30084,04/04/2013 to 12/19/2013,Thu: 4:00 PM-8:00 PM;,,,,,,,-84.214282,33.853283,Private business parking lot,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,6/12/2013 11:07:08 AM
1018816,Dodge County Farmer's Market,,www.facebook.com/DodgeCountyFarmersMarket,,,instagram,5401 Courthouse Circle,Eastman,Dodge,Georgia,31023,01/01/2017 to 12/16/2017,Sat: 9:00 AM-2:00 PM;,,,,,,,-83.176423,32.201081,,Y,N,N,N,Y,-,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,8/10/2017 9:44:54 AM
1004425,Albany  Downtown Farmers Market,http://www.eastbaker.net,,,,,Corner of W. Broad Ave. & N. Jackson St.,Albany,Dougherty,Georgia,31702,May to December,Sat:8:00 AM - 2:00 PM;,,,,,,,-84.15366,31.57684,Local government building grounds,Y,N,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,5/24/2012 6:23:23 PM
1010893,Douglasville Farmers and Artisans Market,,https://www.facebook.com/DouglasvilleFarmersAndArtisansMarket,,,,8700 hospital drive,douglasville,Douglas,Georgia,30135,04/15/2015 to 11/11/2015,Wed: 4:00 PM-7:00 PM;,,,,,,,-84.7305898,33.7434934,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,Y,3/6/2015 5:57:53 PM
1016795,Peachtree City Farmers Market,http://www.ptcfarmersmarket.org,https://www.facebook.com/PeachtreeCityFarmersMarket/?fref=ts,,,,215 Northlake Dr,Peachtree City,Fayette,Georgia,30269,01/01/2017 to 12/31/2017,Wed: 9:00 AM-1:00 PM;Sat: 9:00 AM-1:00 PM;,,,,,,,-84.586675,33.401018,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,1/11/2017 10:12:59 PM
